filename,id,term,tags,manual_links,alternates,definition,writer,writing status,proofreading status
cc-buffer,cc-buffer,CC Buffer,game-mechanics,buffer,"""buffering through CC""","Casting an ability immediately before falling under hard crowd control to overlap moments of inactionability. Most abilities are uncancelable and have an animation during which a champion is inactionable. A player can time the cast of an ability to begin right before hard CC is applied, which results in the CC duration sharing significant overlap with the champion’s existing animation inactionability. 

A special case exists for some movement abilities with startup animations. When an immobilizing or displacing effect hits a champion during or immediately before the startup of their dash or blink, the startup animation of the movement is not interrupted, letting the dash succeed regardless.

Authors’ note: The term “buffer” sometimes applies to this phenomenon, but we have separated the definitions for clarity.",Stephen,Completed,Not Proofread
all-in,all-in,All-in,strategy,trade,,"Combat between opposing laners with the intention to kill. An all-in is taken either when one lane has sufficient kill pressure, either via a calculation of lethal, or as a natural consequence of prior combat.  All-ins often assume the possibility of expending every resource and cooldown available to all champions involved.",Kevin,Completed,Not Proofread
bait,bait,Bait,strategy,overextend,,"Baiting occurs when a player purposefully puts themselves in a dangerous position in an attempt to get the opponent to take an action. The act of baiting can be done on multiple scales. On a skirmishing level, a player can bait to try to get an opponent to start a fight, only to have their teammate(s) join once the opponents have committed to the fight. On a smaller scale, weaving in and out of the maximum range of an opponent's ability can maximize the chances of their opponent wasting a skill shot.",Kevin,Completed,Not Proofread
collapse,collapse,Collapse,strategy,,,Sending multiple people to one area of the map at the same time to try to kill an overextending player. ,Kevin,Completed,Not Proofread
engage,engage,Engage,strategy,re-engage,,"The act of starting a fight proactively. An engage starts an encounter by setting up for follow-up, usually in the form of a gap closer or crowd control. Engage is often used in the context of larger multi-person skirmishes and teamfights, but it can also refer to points in the isolated 1v1. Engage can also refer to the specific champion(s) or abilities used to perform the act of initiation, e.g. “Our engage this game is Ornn and his ult.”",Stephen,Completed,Not Proofread
key-ability,key-ability,Key Ability,strategy,,,"An ability that swings an interaction heavily in one player’s favor if used successfully. Most commonly this will be a non-guaranteed CC tool, but can also be dashes or defensive abilities.",Kevin,Completed,Not Proofread
overextend,overextend,Overextend,strategy,collapse,,"When a player is far in the opposing team’s area of map control. An overextending player is vulnerable to a gank or a collapse. Overextension is not necessarily a mistake, as it can bait the enemy team into overcommitting resources.",Kevin,Completed,Not Proofread
re-engage,re-engage,Re-engage,strategy,,,"The act of re-initiating combat after an initial fight has already occurred. A re-engage acts as an extender to a fight, providing setup for another round of follow-up. Re-engage isn’t a specific job covered in a team comp, since any tool used for engage can also be used to re-engage.",Stephen,Completed,Not Proofread
spacing,spacing,Spacing,strategy,,,"A player intentionally moving to maintain a specific range against an enemy. Most often, a player will be spacing one of their opponents’ abilities or combinations of abilities. Spacing is most commonly used to maintain threat on an enemy while staying out of range of an enemy’s effective range.",Kevin,Completed,Not Proofread
trade,trade,Trade,strategy,,,"A combat between opposing laners with the intention to force an expenditure of resources, rather than to threaten a kill. Trades are often evaluated as positive or negative based on how they favor each party in terms of the parity of resources exchanged. Trades can be categorized as short or long depending on the length of the engagement. Sufficient trading can generate kill pressure or lead to an all-in.",Both,Completed,In Progress
counterpick,counterpick,Counterpick,"strategy, laning",,,Selecting a champion in reaction to the enemy team’s picks. The player with counterpick can choose a champion that matches up well against the enemy team or their opposing laner. This term is most often used in reference to lane matchups.,Kevin,Completed,Not Proofread
matchup,matchup,Matchup,"strategy, laning",,,"The abstract evaluation of the favorability of outcomes for specific champions during the lane phase or an isolated combat. Matchups ar the total of the possible interactions that result in one or more champions holding advantages or disadvantages over the other(s), assuming equal champion mastery and skill between each player. Analysis of matchups can concern players in a single role, or a combination of two roles (such as bot/support or mid/jungle), but rarely the entire draft.

Matchups in League are not clearly quantified due to the multitude of factors that can create variance. Qualifiers are often attached to describe the general favorability of interactions. Matchups are judged on a scale from hard winning to hard losing, with matchups in the middle deemed “skill” or “even.” Truly unplayable matchups are extremely rare in League due to how many factors can influence the isolated 1v1.",Both,Completed,Not Proofread
shove,shove,Shove,"strategy, minions",slow-push,"""hard push""","Killing all the minions in a wave as fast as possible. Shoving is a short-term wave tactic primarily used when a player has a short window for manipulating a wave, but cannot be responded to by the opponent. During the lane phase, the goal of shoving is to crash a wave into the opposing tower completely. Outside of the laning phase, shoving refers to the general act of pushing a wave as quickly as possible.",Stephen,Completed,Not Proofread
wave-thinning,wave-thinning,Wave Thinning,"strategy, minions",,trimming,"Killing a few minions in an incoming wave without clearing it entirely. Thinning a wave is used to slow down a push or lower the possible incoming minion damage. Generally, the goal of thinning is to kills as few minions as necessary to preserve the wave direction while slowing the wave’s speed. Commonly performed to maintain a freeze.",Stephen,Completed,Not Proofread
hook,hook,Hook,vernacular,forced-movement,,"An ability that forces a target’s movement towards the champion who cast it. Hooks are a defining part of a champion’s kit, and champions with hooks are also known as “hook champions.”",Stephen,Completed,Not Proofread
squishy,squishy,Squishy,vernacular,tanky,,"The quality of being easy to kill. Squishy is most commonly used in reference to champion durability, where champions who have inherently low defenses are often referred to as “squishies.”",Stephen,Completed,Not Proofread
tanky,tanky,Tanky,vernacular,squishy,,"The quality of being hard to kill. Tanky champions often have inherently higher defensive stats, build defensively, or have strong defensive outputs.",Stephen,Completed,Not Proofread
